"","X","T8724","X3720","X7910","F2673","T1820","F8903","F6962","T8546","T2100","F6350","F3892","T2413","F9135","R3221","X8719","R7919","R9150","F2601","R8774","T4070","R3762","T6591","F8011","T5062","R5657","T5282","F0763","X7790","T5177","T4954"
"1","Q09666_S115",-1.843137255,-3.941176471,-0.3921568627,-1.725490196,-2.745098039,-0.3921568627,-1.333333333,-0.05882352941,-0.2352941176,-5,-1.411764706,-0.7254901961,-1.117647059,0.2941176471,-3.666666667,-1.117647059,-5,-3.68627451,0.2745098039,0.9803921569,1.078431373,1.529411765,0.3725490196,1.352941176,1.058823529,0.7450980392,0.9411764706,1.117647059,0.3725490196,0
"2","Q96B97_S230",-0.9215686275,-1.803921569,-1.019607843,-0.7254901961,-0.3137254902,-1.078431373,-0.8431372549,-1.960784314,-3.039215686,-2.901960784,-0.8235294118,-1.078431373,-0.5098039216,-2.843137255,-3.588235294,0.09803921569,-1.176470588,-2.274509804,0.5098039216,0.7843137255,-0.2941176471,0.6274509804,-0.431372549,1.568627451,0.8823529412,1.352941176,1.274509804,1.274509804,0.4117647059,1.176470588
"3","Q09666_S93",-0.9215686275,-1.705882353,-0.7450980392,-1.37254902,0.1176470588,-0.9411764706,-1.784313725,-0.6274509804,-1.450980392,-2.254901961,-1.058823529,-1.078431373,-1.941176471,-0.8039215686,-1.156862745,0.2352941176,-0.1960784314,-1.196078431,0.2156862745,0.07843137255,0.431372549,1.176470588,0.5098039216,1.039215686,1.509803922,1,0.7450980392,1,-0.03921568627,0.5882352941
"4","Q12802_S2709",0.1764705882,0.1176470588,-0.6666666667,-0.4901960784,-1.058823529,-0.6274509804,-1.666666667,-0.1176470588,-1.607843137,-2.843137255,-0.2156862745,-1.294117647,-1.176470588,-2.137254902,-4.019607843,-1.607843137,-5,-0.7450980392,0.2156862745,1.196078431,-0.5294117647,1.215686275,1.137254902,0.5294117647,0.9607843137,1.098039216,1.039215686,1.019607843,0.1568627451,0.3529411765
"5","Q96JY6_S197",-0.8431372549,-2.764705882,-0.2745098039,-3.549019608,0.3921568627,-0.6666666667,-1.196078431,0.1764705882,-2.901960784,-2.235294118,-1.921568627,-0.2352941176,-0.6666666667,-4.431372549,-5,0.1568627451,-2.254901961,-5,-0.2745098039,0.6666666667,0.3333333333,0.5098039216,0.6862745098,0.9607843137,1.411764706,0.9019607843,1.019607843,1.137254902,1.352941176,0.4901960784
"6","Q09666_S4520",-1.490196078,-1.352941176,-1.941176471,-4.156862745,-3.039215686,-2.666666667,-2.960784314,-0.09803921569,-2.529411765,-5,-1.607843137,-2.37254902,-3.803921569,-2.882352941,-5,-1.960784314,-3.901960784,-5,-2,1.176470588,-0.3725490196,1.764705882,0.3333333333,0.6470588235,1.509803922,1.529411765,1.588235294,2.019607843,0.03921568627,1.607843137
"7","Q96JQ2_S419",-5,0.2352941176,-2.235294118,-0.9019607843,-5,-5,-4.882352941,-5,-5,-0.9607843137,-5,-5,-2.392156863,-3.156862745,-5,-0.4509803922,-0.2156862745,-5,0.7647058824,-1.921568627,0.7843137255,1.607843137,-1.235294118,0.5882352941,1.725490196,1.156862745,1.882352941,1.019607843,1.725490196,1.215686275
"8","Q96JY6_S129",-0.3529411765,-0.1176470588,0.1764705882,-0.7254901961,0.2745098039,-0.01960784314,-1.039215686,-0.8431372549,-1.37254902,-1.039215686,-0.431372549,-1.37254902,-0.4705882353,-1.607843137,-2.941176471,-0.01960784314,-0.1960784314,-1.588235294,-0.4117647059,0.8235294118,0.5098039216,0.8235294118,0.8823529412,0.4901960784,0.862745098,0.1568627451,0.1960784314,0.4117647059,0.9019607843,0.7843137255
"9","Q09666_T4430",-1.31372549,-4.745098039,-1.568627451,-3.803921569,-1.196078431,-3.549019608,-3.196078431,-0.07843137255,-2.568627451,-5,-1.333333333,-0.7450980392,-3.235294118,-3.156862745,-5,-0.1960784314,0.2745098039,-4.117647059,0.8039215686,1.196078431,-1.117647059,0.862745098,1.274509804,1.862745098,1.803921569,0.6862745098,1.137254902,1.37254902,-0.3137254902,0.03921568627
"10","Q8N3D4_S1257",-0.8039215686,-0.8823529412,-0.5294117647,-0.568627451,-0.3333333333,-0.7450980392,-1.411764706,0.2156862745,-0.7058823529,-1.078431373,0.1764705882,-0.2156862745,-0.9019607843,-1.156862745,-3.137254902,-0.6078431373,-1.078431373,-0.6078431373,0.2549019608,-0.01960784314,0.6078431373,0,0.9411764706,1.196078431,1.31372549,0.07843137255,0.9803921569,0.7450980392,0.2549019608,0.4509803922
